"","X.Organism.Name","Size..Mb.","GC.","Scaffolds","Genes","Release.Date","Modify.Date","Assembly.Accession","genus","strain","acc","full_ftp"
"16","Mycobacterium tuberculosis H37Rv",4.41153,"65.6","1","4008","2001/09/07","2016/08/02","GCA_000195955.2","tuberculosis","Mycobacterium","NC_000962.3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/955/GCA_000195955.2_ASM19595v2/GCA_000195955.2_ASM19595v2_genomic.fasta"
"17","Escherichia coli O157:H7 str. Sakai",5.59448,"50.4477","3","5446","2001/03/07","2017/07/27","GCA_000008865.1","coli","Escherichia","NC_002695.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/865/GCA_000008865.1_ASM886v1/GCA_000008865.1_ASM886v1_genomic.fasta"
"18","Streptococcus pneumoniae R6",2.03862,"39.7","1","1967","2001/10/03","2017/01/11","GCA_000007045.1","pneumoniae","Streptococcus","NC_003098.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/045/GCA_000007045.1_ASM704v1/GCA_000007045.1_ASM704v1_genomic.fasta"
"19","Helicobacter pylori 26695",1.66787,"38.9","1","1555","1997/08/06","2016/08/02","GCA_000008525.1","pylori","Helicobacter","NC_000915.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/525/GCA_000008525.1_ASM852v1/GCA_000008525.1_ASM852v1_genomic.fasta"
"20","Neisseria meningitidis MC58",2.27236,"51.5","1","2104","2000/02/25","2016/08/03","GCA_000008805.1","meningitidis","Neisseria","NC_003112.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/805/GCA_000008805.1_ASM880v1/GCA_000008805.1_ASM880v1_genomic.fasta"
"21","Streptococcus pyogenes M1 GAS",1.85243,"38.5","1","1801","2001/04/10","2016/08/03","GCA_000006785.2","pyogenes","Streptococcus","NC_002737.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/785/GCA_000006785.2_ASM678v2/GCA_000006785.2_ASM678v2_genomic.fasta"
"22","Leptospira interrogans serovar Lai str. 56601",4.69813,"35.0076","2","3741","2002/10/21","2016/08/03","GCA_000092565.1","interrogans","Leptospira","chromosome I:NC_004342.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/565/GCA_000092565.1_ASM9256v1/GCA_000092565.1_ASM9256v1_genomic.fasta"
"23","Actinobacillus pleuropneumoniae serovar 5b str. L20",2.27448,"41.3","1","2171","2007/02/23","2017/03/30","GCA_000015885.1","pleuropneumoniae","Actinobacillus","NC_009053.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/885/GCA_000015885.1_ASM1588v1/GCA_000015885.1_ASM1588v1_genomic.fasta"
"24","Buchnera aphidicola str. Sg (Schizaphis graminum)",0.641454,"25.3","1","625","2002/06/10","2017/03/14","GCA_000007365.1","aphidicola","Buchnera","NC_004061.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/365/GCA_000007365.1_ASM736v1/GCA_000007365.1_ASM736v1_genomic.fasta"
"25","Xylella fastidiosa 9a5c",2.73175,"52.6433","3","2658","2000/06/02","2017/03/29","GCA_000006725.1","fastidiosa","Xylella","NC_002488.3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/725/GCA_000006725.1_ASM672v1/GCA_000006725.1_ASM672v1_genomic.fasta"
"27","Bacillus anthracis str. Ames",5.22729,"35.4","1","5636","2002/05/16","2016/08/03","GCA_000007845.1","anthracis","Bacillus","NC_003997.3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/845/GCA_000007845.1_ASM784v1/GCA_000007845.1_ASM784v1_genomic.fasta"
"28","Shigella flexneri 2a str. 301",4.82882,"50.6659","2","4788","2002/10/16","2016/08/24","GCA_000006925.2","flexneri","Shigella","NC_004337.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/925/GCA_000006925.2_ASM692v2/GCA_000006925.2_ASM692v2_genomic.fasta"
"29","Agrobacterium radiobacter K84",7.2733,"59.8671","5","6941","2009/01/27","2017/05/18","GCA_000016265.1","radiobacter","Agrobacterium","chromosome 1:NC_011985.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/265/GCA_000016265.1_ASM1626v1/GCA_000016265.1_ASM1626v1_genomic.fasta"
"30","Fusobacterium nucleatum subsp. nucleatum ATCC 25586",2.1745,"27.2","1","2062","2002/02/13","2016/08/03","GCA_000007325.1","nucleatum","Fusobacterium","NC_003454.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/325/GCA_000007325.1_ASM732v1/GCA_000007325.1_ASM732v1_genomic.fasta"
"31","Bifidobacterium longum NCC2705",2.26027,"60.1075","2","1799","2002/09/27","2016/08/03","GCA_000007525.1","longum","Bifidobacterium","NC_004307.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/525/GCA_000007525.1_ASM752v1/GCA_000007525.1_ASM752v1_genomic.fasta"
"32","Pseudomonas aeruginosa PAO1",6.2644,"66.6","1","5697","2000/05/16","2016/08/03","GCA_000006765.1","aeruginosa","Pseudomonas","NC_002516.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/765/GCA_000006765.1_ASM676v1/GCA_000006765.1_ASM676v1_genomic.fasta"
"33","Paenarthrobacter aurescens TC1",5.22665,"62.3869","3","4806","2006/12/26","2017/08/28","GCA_000014925.1","aurescens","Paenarthrobacter","NC_008711.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/925/GCA_000014925.1_ASM1492v1/GCA_000014925.1_ASM1492v1_genomic.fasta"
"34","Acinetobacter baumannii",4.33579,"39","1","4296","2014/08/29","2017/03/16","GCA_000746645.1","Acinetobacter baumannii","Acinetobacter baumannii","NZ_CP009257.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/645/GCA_000746645.1_ASM74664v1/GCA_000746645.1_ASM74664v1_genomic.fasta"
"35","Streptococcus agalactiae 2603V/R",2.16027,"35.6","1","2279","2002/08/28","2016/08/03","GCA_000007265.1","agalactiae","Streptococcus","NC_004116.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/265/GCA_000007265.1_ASM726v1/GCA_000007265.1_ASM726v1_genomic.fasta"
"36","Streptococcus suis BM407",2.17081,"41.0468","2","2136","2009/07/07","2016/08/03","GCA_000026745.1","suis","Streptococcus","NC_012926.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/745/GCA_000026745.1_ASM2674v1/GCA_000026745.1_ASM2674v1_genomic.fasta"
"37","Pseudomonas syringae pv. syringae B728a",6.0937,"59.2","1","5220","2005/05/12","2016/08/03","GCA_000012245.1","syringae","Pseudomonas","NC_007005.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/245/GCA_000012245.1_ASM1224v1/GCA_000012245.1_ASM1224v1_genomic.fasta"
"38","Vibrio vulnificus",5.16313,"46.5303","3","4872","2017/07/06","2017/07/08","GCA_002215135.1","Vibrio vulnificus","Vibrio vulnificus","chromosome I:NZ_CP014636.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/135/GCA_002215135.1_ASM221513v1/GCA_002215135.1_ASM221513v1_genomic.fasta"
"39","Chlamydophila pneumoniae CWL029",1.23023,"40.6","1","1091","1999/12/22","2016/08/03","GCA_000008745.1","pneumoniae","Chlamydophila","NC_000922.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/745/GCA_000008745.1_ASM874v1/GCA_000008745.1_ASM874v1_genomic.fasta"
"40","Haemophilus somnus 2336",2.26386,"37.4","1","2114","2008/02/26","2017/03/30","GCA_000019405.1","somnus","Haemophilus","NC_010519.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/405/GCA_000019405.1_ASM1940v1/GCA_000019405.1_ASM1940v1_genomic.fasta"
"41","Xanthomonas axonopodis Xac29-1",5.29652,"64.7171","4","4808","2013/03/22","2017/06/15","GCA_000348585.1","axonopodis","Xanthomonas","NC_020800.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/348/585/GCA_000348585.1_ASM34858v1/GCA_000348585.1_ASM34858v1_genomic.fasta"
"42","Mycoplasma hyopneumoniae J",0.897405,"28.5","1","728","2005/08/05","2017/04/06","GCA_000008205.1","hyopneumoniae","Mycoplasma","NC_007295.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/205/GCA_000008205.1_ASM820v1/GCA_000008205.1_ASM820v1_genomic.fasta"
"43","Chlorobium phaeobacteroides DSM 266",3.1339,"48.4","1","2902","2006/12/11","2017/04/06","GCA_000015125.1","phaeobacteroides","Chlorobium","NC_008639.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/125/GCA_000015125.1_ASM1512v1/GCA_000015125.1_ASM1512v1_genomic.fasta"
"44","Bacillus licheniformis DSM 13 = ATCC 14580",4.2226,"46.2","1","4382","2004/09/14","2017/05/18","GCA_000011645.1","licheniformis","Bacillus","NC_006270.3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/645/GCA_000011645.1_ASM1164v1/GCA_000011645.1_ASM1164v1_genomic.fasta"
"45","Legionella pneumophila subsp. pneumophila str. Philadelphia 1",3.39775,"38.3","1","3003","2001/10/15","2017/01/11","GCA_000008485.1","pneumophila","Legionella","NC_002942.5","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/485/GCA_000008485.1_ASM848v1/GCA_000008485.1_ASM848v1_genomic.fasta"
"46","Shigella sonnei Ss046",5.05532,"50.7587","5","5601","2005/08/29","2017/08/04","GCA_000092525.1","sonnei","Shigella","NC_007384.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/525/GCA_000092525.1_ASM9252v1/GCA_000092525.1_ASM9252v1_genomic.fasta"
"47","Bacteroides fragilis YCH46",5.31099,"43.2378","2","4717","2004/09/17","2017/07/27","GCA_000009925.1","fragilis","Bacteroides","NC_006347.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/925/GCA_000009925.1_ASM992v1/GCA_000009925.1_ASM992v1_genomic.fasta"
"48","Anaplasma marginale str. Florida",1.20243,"49.8","1","1038","2009/02/03","2017/03/29","GCA_000020305.1","marginale","Anaplasma","NC_012026.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/305/GCA_000020305.1_ASM2030v1/GCA_000020305.1_ASM2030v1_genomic.fasta"
"49","Streptococcus thermophilus JIM 8232",1.9299,"38.9","1","2033","2011/07/04","2017/04/11","GCA_000253395.1","thermophilus","Streptococcus","NC_017581.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/395/GCA_000253395.1_ASM25339v1/GCA_000253395.1_ASM25339v1_genomic.fasta"
"50","Lactobacillus reuteri DSM 20016",1.99962,"38.9","1","2049","2007/06/01","2017/03/30","GCA_000016825.1","reuteri","Lactobacillus","NC_009513.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/825/GCA_000016825.1_ASM1682v1/GCA_000016825.1_ASM1682v1_genomic.fasta"
"51","Shigella dysenteriae Sd197",4.56091,"50.921","3","4834","2005/11/09","2016/08/03","GCA_000012005.1","dysenteriae","Shigella","NC_007606.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/005/GCA_000012005.1_ASM1200v1/GCA_000012005.1_ASM1200v1_genomic.fasta"
"52","Bacillus pumilus",3.87881,"41.4612","2","3998","2016/03/01","2017/04/10","GCA_001578205.1","Bacillus pumilus","Bacillus pumilus","NZ_CP011007.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/578/205/GCA_001578205.1_ASM157820v1/GCA_001578205.1_ASM157820v1_genomic.fasta"
"53","Burkholderia cenocepacia J2315",8.05578,"66.9165","4","7645","2008/06/19","2017/05/18","GCA_000009485.1","cenocepacia","Burkholderia","chromosome 1:NC_011000.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/485/GCA_000009485.1_ASM948v1/GCA_000009485.1_ASM948v1_genomic.fasta"
"54","Burkholderia pseudomallei K96243",7.24755,"68.0502","2","5935","2004/09/16","2016/08/03","GCA_000011545.1","pseudomallei","Burkholderia","chromosome 1:NC_006350.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/545/GCA_000011545.1_ASM1154v1/GCA_000011545.1_ASM1154v1_genomic.fasta"
"55","Chlamydia trachomatis D/UW-3/CX",1.04252,"41.3","1","935","1998/05/20","2016/08/03","GCA_000008725.1","trachomatis","Chlamydia","NC_000117.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/725/GCA_000008725.1_ASM872v1/GCA_000008725.1_ASM872v1_genomic.fasta"
"56","Wolbachia endosymbiont strain TRS of Brugia malayi",1.08008,"34.2","1","1047","2005/02/02","2017/04/17","GCA_000008385.1","endosymbiont","Wolbachia","NC_006833.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/385/GCA_000008385.1_ASM838v1/GCA_000008385.1_ASM838v1_genomic.fasta"
"57","Synechococcus elongatus PCC 6301",2.69625,"55.5","1","2699","2004/12/14","2017/04/06","GCA_000010065.1","elongatus","Synechococcus","NC_006576.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/065/GCA_000010065.1_ASM1006v1/GCA_000010065.1_ASM1006v1_genomic.fasta"
"58","Shewanella baltica OS678",5.36877,"46.276","2","4729","2010/12/21","2017/05/19","GCA_000178875.2","baltica","Shewanella","NC_016901.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/875/GCA_000178875.2_ASM17887v2/GCA_000178875.2_ASM17887v2_genomic.fasta"
"59","Ehrlichia ruminantium str. Welgevonden",1.51635,"27.5","1","990","2003/12/10","2017/03/30","GCA_000026005.1","ruminantium","Ehrlichia","NC_005295.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/005/GCA_000026005.1_ASM2600v1/GCA_000026005.1_ASM2600v1_genomic.fasta"
"60","Shewanella putrefaciens CN-32",4.65922,"44.5","1","4188","2007/04/20","2017/05/19","GCA_000016585.1","putrefaciens","Shewanella","NC_009438.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/585/GCA_000016585.1_ASM1658v1/GCA_000016585.1_ASM1658v1_genomic.fasta"
"61","Corynebacterium glutamicum ATCC 13032",3.3094,"53.8","1","3057","2001/03/12","2016/10/07","GCA_000011325.1","glutamicum","Corynebacterium","NC_003450.3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/325/GCA_000011325.1_ASM1132v1/GCA_000011325.1_ASM1132v1_genomic.fasta"
"62","Burkholderia mallei ATCC 23344",5.83553,"68.5188","2","5506","2004/09/22","2016/08/03","GCA_000011705.1","mallei","Burkholderia","chromosome 1:NC_006348.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/705/GCA_000011705.1_ASM1170v1/GCA_000011705.1_ASM1170v1_genomic.fasta"
"63","Corynebacterium jeikeium K411",2.47682,"61.3561","2","2195","2005/06/27","2017/03/30","GCA_000006605.1","jeikeium","Corynebacterium","NC_007164.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/605/GCA_000006605.1_ASM660v1/GCA_000006605.1_ASM660v1_genomic.fasta"
"64","[Bacillus thuringiensis] serovar konkukian str. 97-27",5.31479,"35.3594","2","5343","2004/06/28","2016/08/03","GCA_000008505.1","thuringiensis]","[Bacillus","NC_005957.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/505/GCA_000008505.1_ASM850v1/GCA_000008505.1_ASM850v1_genomic.fasta"
"65","Ralstonia solanacearum GMI1000",5.81092,"66.964","2","5208","2001/12/07","2017/05/19","GCA_000009125.1","solanacearum","Ralstonia","NC_003295.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/125/GCA_000009125.1_ASM912v1/GCA_000009125.1_ASM912v1_genomic.fasta"
"66","Shigella boydii Sb227",4.64652,"51.0964","2","5074","2005/11/09","2017/08/04","GCA_000012025.1","boydii","Shigella","NC_007613.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/025/GCA_000012025.1_ASM1202v1/GCA_000012025.1_ASM1202v1_genomic.fasta"
"67","Vibrio cholerae O1 biovar El Tor str. N16961",4.03346,"47.4873","2","3693","2000/06/14","2016/08/03","GCA_000006745.1","cholerae","Vibrio","chromosome I:NC_002505.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/745/GCA_000006745.1_ASM674v1/GCA_000006745.1_ASM674v1_genomic.fasta"
"68","Clostridioides difficile 630",4.29813,"29.0978","2","3982","2006/06/27","2016/11/17","GCA_000009205.1","difficile","Clostridioides","NC_009089.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/205/GCA_000009205.1_ASM920v1/GCA_000009205.1_ASM920v1_genomic.fasta"
"69","Candidatus Pelagibacter ubique HTCC1062",1.30876,"29.7","1","1396","2005/07/22","2017/03/29","GCA_000012345.1","Pelagibacter","Candidatus","NC_007205.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/345/GCA_000012345.1_ASM1234v1/GCA_000012345.1_ASM1234v1_genomic.fasta"
"70","Thermus thermophilus HB8",2.11606,"69.4857","3","2245","2004/11/16","2016/10/07","GCA_000091545.1","thermophilus","Thermus","NC_006461.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/545/GCA_000091545.1_ASM9154v1/GCA_000091545.1_ASM9154v1_genomic.fasta"
"71","Mycoplasma genitalium G37",0.580076,"31.7","1","566","1995/10/30","2017/04/07","GCA_000027325.1","genitalium","Mycoplasma","NC_000908.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/325/GCA_000027325.1_ASM2732v1/GCA_000027325.1_ASM2732v1_genomic.fasta"
"72","Ehrlichia chaffeensis str. Arkansas",1.17625,"30.1","1","952","2006/02/21","2017/03/29","GCA_000013145.1","chaffeensis","Ehrlichia","NC_007799.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/145/GCA_000013145.1_ASM1314v1/GCA_000013145.1_ASM1314v1_genomic.fasta"
"73","Nitrosococcus oceani ATCC 19707",3.52211,"50.3241","2","3348","2005/10/04","2017/04/06","GCA_000012805.1","oceani","Nitrosococcus","NC_007484.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/805/GCA_000012805.1_ASM1280v1/GCA_000012805.1_ASM1280v1_genomic.fasta"
"74","Streptococcus salivarius",2.18892,"40.1","1","2068","2014/11/19","2017/04/02","GCA_000785515.1","Streptococcus salivarius","Streptococcus salivarius","NZ_CP009913.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/785/515/GCA_000785515.1_ASM78551v1/GCA_000785515.1_ASM78551v1_genomic.fasta"
"75","Yersinia pseudotuberculosis IP 31758",4.93513,"47.1929","3","4534","2007/07/23","2017/04/10","GCA_000016945.1","pseudotuberculosis","Yersinia","NC_009708.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/945/GCA_000016945.1_ASM1694v1/GCA_000016945.1_ASM1694v1_genomic.fasta"
"76","Francisella tularensis subsp. tularensis SCHU S4",1.89278,"32.3","1","1834","2004/12/14","2016/08/03","GCA_000008985.1","tularensis","Francisella","NC_006570.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/985/GCA_000008985.1_ASM898v1/GCA_000008985.1_ASM898v1_genomic.fasta"
"77","Brucella abortus bv. 1 str. 9-941",3.28645,"57.2354","2","3376","2005/04/05","2017/03/22","GCA_000008145.1","abortus","Brucella","chromosome I:NC_006932.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/145/GCA_000008145.1_ASM814v1/GCA_000008145.1_ASM814v1_genomic.fasta"
"78","Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002",1.865,"49.7","1","1961","2006/05/26","2017/03/30","GCA_000056065.1","delbrueckii","Lactobacillus","NC_008054.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/056/065/GCA_000056065.1_ASM5606v1/GCA_000056065.1_ASM5606v1_genomic.fasta"
"79","Leptospira borgpetersenii serovar Hardjo-bovis str. L550",3.93178,"40.2","2","3847","2006/10/13","2017/03/29","GCA_000013945.1","borgpetersenii","Leptospira","chromosome 1:NC_008508.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/945/GCA_000013945.1_ASM1394v1/GCA_000013945.1_ASM1394v1_genomic.fasta"
"80","Xanthomonas citri pv. vignicola",5.7105,"64.4637","4","5199","2017/07/13","2017/07/15","GCA_002218245.1","citri","Xanthomonas","NZ_CP022263.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/218/245/GCA_002218245.1_ASM221824v1/GCA_002218245.1_ASM221824v1_genomic.fasta"
"81","Xanthomonas oryzae pv. oryzae PXO99A",5.23855,"63.6","1","5082","2008/05/16","2017/04/11","GCA_000019585.2","oryzae","Xanthomonas","NC_010717.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/585/GCA_000019585.2_ASM1958v2/GCA_000019585.2_ASM1958v2_genomic.fasta"
"82","Campylobacter fetus subsp. testudinum 03-427",1.77548,"33.1","1","1758","2013/11/05","2017/04/02","GCA_000495505.1","fetus","Campylobacter","NC_022759.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/495/505/GCA_000495505.1_ASM49550v1/GCA_000495505.1_ASM49550v1_genomic.fasta"
"83","Streptococcus mitis B6",2.14661,"40","1","2096","2010/02/16","2016/08/28","GCA_000027165.1","mitis","Streptococcus","NC_013853.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/165/GCA_000027165.1_ASM2716v1/GCA_000027165.1_ASM2716v1_genomic.fasta"
"84","Oenococcus oeni PSU-1",1.78052,"37.9","1","1831","2006/10/13","2017/03/22","GCA_000014385.1","oeni","Oenococcus","NC_008528.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/385/GCA_000014385.1_ASM1438v1/GCA_000014385.1_ASM1438v1_genomic.fasta"
